,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DATE,Time,Direction,Vehical Type,,,,,,,Occupancy,Gender Of Driver,,Outside University,
,AM,,CAR,BUS,BICYCLE,MOTORBIKE,TAXI,SCOOTER,VAN,,MALE,FEMALE,Left,Right
25-10-23,10:30am,OUT,✓,,,,,,,1,,✓,,✓
25-10-23,10:30am,OUT,✓,,,,,,,1,,✓,,✓
25-10-23,10:30am,OUT,✓,,,,,,,1,✓,,,✓
25-10-23,10:30am,OUT,,✓,,,,,,20%,✓,,,✓
25-10-23,10:31am,OUT,,✓,,,,,,20%,✓,,,✓
25-10-23,10:31am,OUT,✓,,,,,,,1,,✓,✓,
25-10-23,10:32am,OUT,,,,,,,✓,1,✓,,,✓
25-10-23,10:32am,OUT,,,,,,,✓,1,✓,,✓,
25-10-23,10:33am,OUT,✓,,,,,,,1,✓,,,✓
25-10-23,10:33am,OUT,✓,,,,,,,1,,✓,,✓
25-10-23,10:33am,OUT,,✓,,,,,,30%,✓,,,✓
25-10-23,10:34am,OUT,✓,,,,,,,2,✓,,,✓
25-10-23,10:34am,OUT,✓,,,,,,,1,✓,,✓,
25-10-23,10:36am,OUT,✓,,,,,,,2,✓,,,✓
25-10-23,10:36am,OUT,,✓,,,,,,1%,✓,,,✓
25-10-23,10:36am,OUT,✓,,,,,,,2,,✓,✓,
25-10-23,10:38am,OUT,,✓,,,,,,1%,✓,,,✓
25-10-23,10:38am,OUT,,,,,,,✓,1,✓,,,✓
25-10-23,10:39am,OUT,,,,,,,✓,1,✓,,,✓
25-10-23,10:39am,OUT,✓,,,,,,,1,✓,,,✓
25-10-23,10:41am,OUT,,,,,,,✓,1,✓,,,✓
25-10-23,10:43am,OUT,,,,,,,✓,1,✓,,,✓
25-10-23,10:44am,OUT,,,,,,,✓,1,✓,,✓,
25-10-23,10:44am,OUT,✓,,,,,,,2,✓,,✓,
25-10-23,10:46am,OUT,✓,,,,,,,2,,✓,✓,
25-10-23,10:46am,OUT,,✓,,,,,,5%,✓,,,✓
25-10-23,10:46am,OUT,✓,,,,,,,1,,✓,,✓
25-10-23,10:47am,OUT,✓,,,,,,,1,✓,,,✓
25-10-23,10:47am,OUT,✓,,,,,,,1,✓,,,✓
25-10-23,10:47am,OUT,✓,,,,,,,1,✓,,,✓
25-10-23,10:48am,OUT,✓,,,,,,,2,,✓,,✓
25-10-23,10:48am,OUT,✓,,,,,,,2,✓,,,✓
25-10-23,10:48am,OUT,✓,,,,,,,1,,✓,✓,
25-10-23,10:50am,OUT,✓,,,,,,,1,,✓,,✓
25-10-23,10:50am,OUT,✓,,,,,,,2,✓,,,✓
25-10-23,10:50am,OUT,✓,,,,,,,1,,✓,,✓
25-10-23,10:51am,OUT,✓,,,,,,,1,✓,,,✓
25-10-23,10:51am,OUT,✓,,,,,,,1,,✓,,✓
25-10-23,10:51am,OUT,✓,,,,,,,2,✓,,,✓
25-10-23,10:51am,OUT,✓,,,,,,,1,✓,,,✓
25-10-23,10:52am,OUT,✓,,,,,,,1,,✓,,✓
25-10-23,10:52am,OUT,✓,,,,,,,1,,✓,,✓
25-10-23,10:52am,OUT,✓,,,,,,,2,,✓,✓,
25-10-23,10:53am,OUT,✓,,,,,,,1,✓,,✓,
25-10-23,10:53am,OUT,,,,,,,✓,1,✓,,,✓
25-10-23,10:54am,OUT,✓,,,,,,,1,✓,,,✓
25-10-23,10:55am,OUT,✓,,,,,,,1,✓,,,✓
25-10-23,10:56am,OUT,✓,,,,,,,2,✓,,,✓
25-10-23,10:56am,OUT,,✓,,,,,,25%,✓,,,✓
25-10-23,10:57am,OUT,,✓,,,,,,20%,✓,,,✓
25-10-23,10:58am,OUT,✓,,,,,,,1,,✓,✓,
25-10-23,10:58am,OUT,✓,,,,,,,1,✓,,,✓
25-10-23,10:58am,OUT,✓,,,,,,,1,✓,,,✓
25-10-23,10:59am,OUT,,,,,,,✓,1,✓,,,✓
25-10-23,10:59am,OUT,✓,,,,,,,2,✓,,,✓
25-10-23,11:00am,OUT,✓,,,,,,,1,,✓,,✓
